,Outside Air Temperature,Outside Air Relative Humidity,Solar Irradiation,Heating Water Flow Rate,Cooling Water Flow Rate,Heating Energy,Cooling Energy,Electrical Energy
2019-06-05 16:00:00,83.7034912109375,47.11662292480469,429.0,3.016798,85.9494857788086,23.17893660068512,528.1685600280762,191.347815999999
2019-06-05 17:00:00,86.6975326538086,49.94234085083008,162.0,0.0,81.5182342529297,20.809717059135437,528.5517692565918,192.76126699999898
2019-06-05 18:00:00,89.96498107910156,47.16194534301758,75.0,0.0,77.7358932495117,10.015260368585587,529.3205375671387,181.54542099999895
2019-06-05 19:00:00,91.81338500976562,43.01552963256836,8.0,6.6848893,82.5381164550781,14.52974870800972,505.78064727783203,183.10504599999894
2019-06-05 20:00:00,89.00655364990234,43.24967956542969,0.0,8.942822999999999,69.9370803833008,7.268839165568352,579.079418182373,173.01479199999892
2019-06-05 21:00:00,90.38108825683594,41.99479293823242,0.0,9.133189,68.96121215820311,6.108309596776962,537.6833457946777,164.0816719999989
2019-06-05 22:00:00,90.66676330566406,37.58789443969727,0.0,9.185875999999999,60.786594390869105,9.78557712212205,553.0708389282227,167.99648699999892
2019-06-05 23:00:00,88.115478515625,43.07796096801758,0.0,9.063024,62.9266471862793,3.395370841026306,540.8816680908203,115.04101299999891
2019-06-06 00:00:00,81.50994873046875,52.41376113891602,0.0,9.660083,62.777679443359396,12.471299260854721,555.8734664916992,203.26015499999886
2019-06-06 01:00:00,79.95914459228516,52.39358139038086,0.0,9.438573,65.308464050293,36.88004779815674,499.97535705566406,164.83670499999891
2019-06-06 02:00:00,78.41350555419922,52.29325485229492,0.0,13.152932,68.406867980957,30.83936095237732,449.6739730834961,161.16593699999893
2019-06-06 03:00:00,77.5047378540039,53.97332763671875,0.0,13.114465,65.77706909179689,27.28995966911316,430.1034736633301,172.49027799999888
2019-06-06 04:00:00,76.292724609375,57.27534103393555,0.0,13.071123,61.209865570068395,27.11935544013977,431.1896781921387,158.05774699999887
2019-06-06 05:00:00,75.36187744140625,60.69820022583008,33.0,12.785096000000001,67.7072067260742,27.121440887451172,473.3321838378906,147.77627799999885
2019-06-06 06:00:00,74.75296783447266,63.11271667480469,146.0,13.190755,64.8035430908203,27.11618161201477,443.3042049407959,116.34308999999888
2019-06-06 07:00:00,73.82778930664062,64.56501007080078,248.0,13.187617000000001,69.55459594726561,32.15994310379028,449.3144073486328,198.94610699999885
2019-06-06 08:00:00,73.52542877197266,67.21739959716797,157.0,12.95882,68.0670166015625,35.82784938812256,474.91004180908203,158.83530399999887
2019-06-06 09:00:00,73.2242431640625,68.7366943359375,214.0,10.919165,42.9229965209961,36.108583211898804,432.0028610229492,172.47717599999893
2019-06-06 10:00:00,72.31230926513672,70.35646820068361,324.0,7.0987789999999995,68.2476806640625,36.13901114463806,423.25589179992676,169.6953199999989
2019-06-06 11:00:00,72.01866912841797,71.55797576904297,348.0,7.580487700000001,73.32891845703129,35.8628089427948,427.80444717407227,125.86378299999892
2019-06-06 12:00:00,72.92366027832031,70.19399261474611,327.0,7.3539615000000005,71.7389755249023,36.251726388931274,437.3236675262451,149.52957199999892
2019-06-06 13:00:00,74.48554992675781,67.3702392578125,265.0,7.749343,72.4042663574219,36.19950461387634,439.27404403686523,277.45086899999893
2019-06-06 14:00:00,75.13429260253906,64.71885681152344,151.0,7.422208,76.3729629516602,33.77274489402771,405.3079957962036,178.26648399999897
2019-06-06 15:00:00,76.41801452636719,63.2813835144043,281.0,7.177623700000001,39.4027557373047,22.76615536212921,478.1579895019531,181.70879699999898
2019-06-06 16:00:00,76.67774200439453,61.67065048217773,131.0,9.504858,87.8477935791016,21.206094622612,496.3361587524414,180.06727899999896
2019-06-06 17:00:00,77.98374938964844,57.17838668823242,86.0,12.190214,86.0582656860352,24.433116674423218,475.0707149505615,211.088145999999
2019-06-06 18:00:00,77.61309051513672,58.23958969116211,45.0,12.582498,89.2605743408203,25.953182101249695,511.2149200439453,189.85575999999907
2019-06-06 19:00:00,78.21049499511719,58.67004013061523,5.0,13.25542,79.15272521972659,25.330865025520325,497.37304306030273,200.77310299999903
2019-06-06 20:00:00,74.00154113769531,64.38727569580078,0.0,13.450009,77.2649459838867,26.28832221031189,496.94826889038086,210.03256499999904
2019-06-06 21:00:00,75.6296615600586,65.3961181640625,0.0,13.077179,72.0628967285156,25.58883035182953,516.9122638702393,191.1480069999991
2019-06-06 22:00:00,75.31503295898438,62.7662467956543,0.0,13.129210999999998,69.6223602294922,30.621158838272095,547.9857406616211,178.19401299999913
2019-06-06 23:00:00,72.40110778808594,71.52127075195312,0.0,13.496613,75.4141616821289,33.49237847328186,541.3644905090332,181.72762699999913
2019-06-07 00:00:00,72.10323333740234,74.1224136352539,0.0,13.354857,72.9529724121094,33.84869742393494,540.6323547363281,180.68515199999914
2019-06-07 01:00:00,71.50141906738281,77.63512420654297,0.0,13.151289000000002,68.88754272460939,35.07915639877319,562.2556915283203,165.30799599999915
2019-06-07 02:00:00,70.87641143798828,81.9611587524414,0.0,13.272859,75.76429748535159,35.307246923446655,507.31634521484375,163.03509899999918
2019-06-07 03:00:00,70.26303100585939,83.3254623413086,0.0,12.85554,72.5096740722656,34.43693566322327,473.15575408935547,174.4429739999992
2019-06-07 04:00:00,70.26303100585939,83.22147369384766,0.0,13.209121,74.1620559692383,35.24410533905029,496.02321434020996,173.87014799999918
2019-06-07 05:00:00,69.96319580078125,83.22177124023438,15.0,13.296441,70.84112548828129,34.683465003967285,457.99311447143555,169.6916429999992
2019-06-07 06:00:00,69.96319580078125,84.82039642333984,83.0,13.13202,73.6379013061523,34.777289152145386,449.4442481994629,166.8721189999992
